"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","icd10am_code_additional","sts_name","icd9_code","icd9_additional"
"Cardiomyopathy and heart muscle diseases","Infiltrative cardiomyopathy,","10.10.13","I42.8","Other cardiomyopathies",,"I42.8","Other cardiomyopathies",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",
"Cardiomyopathy and heart muscle diseases","Drug induced heart muscle disease,","10.07.05","I42.7","Cardiomyopathy due to drugs and other external agents",,"I42.7","Cardiomyopathy due to drugs and other external agents",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.9",
"Cardiomyopathy and heart muscle diseases","Nutritional heart muscle disease,","10.07.61","E63.9","Nutritional deficiency, unspecified","I43.2","E63.9","Nutritional deficiency, unspecified",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","269.9","425.7"
"Cardiomyopathy and heart muscle diseases","Heart muscle disease in collagen vascular/ connective tissue disorder,","10.07.81","M35.9","Systemic involvement of connective tissue, unspecified","I43.8","M35.9","Systemic involvement of connective tissue, unspecified",,"Cardiomyopathy (including dilated, restrictive, and hypertrophic)","710.9","425.8"
"Acquired pulmonary arterial abnormalities","Pulmonary arterial disease: acquired,","10.13.50","I28.9","Disease of pulmonary vessels, unspecified",,"I28.9","Disease of pulmonary vessels, unspecified",,"Cardiac, Other","417.9",
"Acquired pulmonary arterial abnormalities","Right pulmonary arterial stenosis: acquired,","10.13.68","I28.8","Other specified diseases of pulmonary vessels",,"I28.8","Other specified diseases of pulmonary vessels",,"Pulm art stenosis, Branch, Central","417.8",
"Acquired pulmonary arterial abnormalities","Left pulmonary arterial stenosis: acquired,","10.13.69","I28.8","Other specified diseases of pulmonary vessels",,"I28.8","Other specified diseases of pulmonary vessels",,"Pulm art stenosis, Branch, Central","417.8",
"Acquired pulmonary arterial abnormalities","Postprocedural pulmonary trunk complication,","15.32.01","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels",,"Cardiac, Other","417.8","E878.8"
"Acquired pulmonary arterial abnormalities","Postprocedural right pulmonary artery complication,","15.32.21","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels",,"Cardiac, Other","417.8","E878.8"
"Acquired pulmonary arterial abnormalities","Postprocedural left pulmonary artery complication,","15.32.41","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels",,"Cardiac, Other","417.8","E878.8"
"Acquired pulmonary arterial abnormalities","Residual right pulmonary artery stenosis,","15.32.23","Q25.6","Stenosis of pulmonary artery","Y83.8","Q25.6","Stenosis of pulmonary artery",,"Pulm art stenosis, Branch, Central","747.3","E878.8"
"Acquired pulmonary arterial abnormalities","Residual left pulmonary artery stenosis,","15.32.43","Q25.6","Stenosis of pulmonary artery","Y83.8","Q25.6","Stenosis of pulmonary artery",,"Pulm art stenosis, Branch, Central","747.3","E878.8"
"Acquired pulmonary arterial abnormalities","Pulmonary arterial hypertension,","10.13.01","I27.0","Primary pulmonary hypertension",,"I27.0","Primary pulmonary hypertension",,"Miscellaneous, Other","416.8",
"Acquired pulmonary arterial abnormalities","Primary pulmonary hypertension,","10.13.02","I27.0","Primary pulmonary hypertension",,"I27.0","Primary pulmonary hypertension",,"Primary pulmonary hypertension","416.0",
"Acquired pulmonary arterial abnormalities","Secondary pulmonary hypertension,","10.13.20","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases",,"Miscellaneous, Other","416.8",
"Acquired pulmonary arterial abnormalities","Pulmonary hypertension due to left to right shunt,","10.13.21","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases",,"Miscellaneous, Other","416.8",
"Acquired pulmonary arterial abnormalities","Pulmonary vascular disease,","10.13.06","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases",,"Pulmonary vascular obstructive disease","416.8",
"Acquired pulmonary arterial abnormalities","Irreversible pulmonary vascular disease due to congenital heart disease (Eisenmenger Syndrome),","10.13.08","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases",,"Pulmonary vascular obstructive disease (Eisenmenger's)","416.8",
"Acquired pulmonary arterial abnormalities","Pulmonary embolism,","10.13.51","I26.9","Pulmonary embolism without mention of acute cor pulmonale",,"I26.9","Pulmonary embolism without mention of acute cor pulmonale",,"Pulmonary embolism","415.1",
"Acquired pulmonary arterial abnormalities","Pulmonary oedema,","10.30.30","J81","Pulmonary oedema",,"J81","Pulmonary oedema",,"Miscellaneous, Other","514",
"Acquired systemic arterial, coronary and ductal abnormalities","Abnormality of aorta: acquired,","10.14.70","I77.8","Other specified disorders of arteries and arterioles",,"I77.8","Other specified disorders of arteries and arterioles",,"Cardiac, Other","447.8",
"Acquired systemic arterial, coronary and ductal abnormalities","Supravalvar aortic stenosis: acquired,","10.14.77","I77.1","Stricture of artery",,"I77.1","Stricture of artery",,"Aortic stenosis, Supravalvar","447.1",
"Acquired systemic arterial, coronary and ductal abnormalities","Recoarctation of aorta,","10.14.72","I77.1","Stricture of artery",,"I77.1","Stricture of artery",,"Coarctation of aorta","447.1",
"Acquired systemic arterial, coronary and ductal abnormalities","Ascending aorta dilation: acquired,","10.14.40","I71.9","Aortic aneurysm of unspecified site, without mention of rupture",,"I71.9","Aortic aneurysm of unspecified site, without mention of rupture",,"Cardiac, Other","441.6",
"Acquired systemic arterial, coronary and ductal abnormalities","Ascending aortopathy associated with conotruncal malformations,","10.14.95","I71.9","Aortic aneurysm of unspecified site, without mention of rupture",,"I71.9","Aortic aneurysm of unspecified site, without mention of rupture",,"Cardiac, Other","441.6",
"Acquired systemic arterial, coronary and ductal abnormalities","Aortic root dilation,","09.16.13","Q25.4","Other congenital malformations of aorta",,"Q25.40","Congenital malformation of aorta, unspecified","Q25.49, Q25.41, Q25.42, Q25.43, Q25.44, Q25.45, Q25.46, Q25.47","Cardiac, Other","747.2",
"Acquired systemic arterial, coronary and ductal abnormalities","Aortic dissection,","10.14.51","I71.0","Dissection of aorta [any part]",,"I71.00","Dissection of aorta, unspecified site","I71.01, I71.02, I71.03","Aortic dissection","441.0",
"Acquired systemic arterial, coronary and ductal abnormalities","Ascending aorta dissection & propagation beyond arch (DeBakey type I),","10.14.52","I71.0","Dissection of aorta [any part]",,"I71.00","Dissection of aorta, unspecified site","I71.01, I71.02, I71.03","Aortic dissection","441.0",
"Acquired systemic arterial, coronary and ductal abnormalities","Ascending aorta dissection not beyond arch (DeBakey type II/ Stanford type A),","10.14.53","I71.0","Dissection of aorta [any part]",,"I71.00","Dissection of aorta, unspecified site","I71.01, I71.02, I71.03","Aortic dissection","441.0",
"Acquired systemic arterial, coronary and ductal abnormalities","Descending aorta dissection & distal propagation (DeBakey type III/ Stanford type B),","10.14.54","I71.0","Dissection of aorta [any part]",,"I71.00","Dissection of aorta, unspecified site","I71.01, I71.02, I71.03","Aortic dissection","441.0",
"Acquired systemic arterial, coronary and ductal abnormalities","Aortic aneurysm,","10.14.50","I71.2","Thoracic aortic aneurysm, without mention of rupture",,"I71.2","Thoracic aortic aneurysm, without mention of rupture",,"Aortic aneurysm (including pseudoaneurysm)","441.2",
"Acquired systemic arterial, coronary and ductal abnormalities","Ascending aorta aneurysm,","10.14.42","I71.2","Thoracic aortic aneurysm, without mention of rupture",,"I71.2","Thoracic aortic aneurysm, without mention of rupture",,"Aortic aneurysm (including pseudoaneurysm)","441.2",
"Acquired systemic arterial, coronary and ductal abnormalities","Descending aorta aneurysm,","10.14.43","I71.2","Thoracic aortic aneurysm, without mention of rupture",,"I71.2","Thoracic aortic aneurysm, without mention of rupture",,"Aortic aneurysm (including pseudoaneurysm)","441.2",
"Acquired systemic arterial, coronary and ductal abnormalities","Abdominal aorta aneurysm,","10.14.44","I71.4","Abdominal aortic aneurysm, without mention of rupture",,"I71.4","Abdominal aortic aneurysm, without mention of rupture",,"Aortic aneurysm (including pseudoaneurysm)","441.4",
"Acquired systemic arterial, coronary and ductal abnormalities","Rupture of thoracic aortic aneurysm,","10.14.45","I71.1","Thoracic aortic aneurysm, ruptured",,"I71.1","Thoracic aortic aneurysm, ruptured",,"Aortic dissection","441.1",
"Acquired systemic arterial, coronary and ductal abnormalities","Rupture of abdominal aortic aneurysm,","10.14.46","I71.5","Thoracoabdominal aortic aneurysm, ruptured",,"I71.5","Thoracoabdominal aortic aneurysm, ruptured",,"Aortic dissection","441.3",
"Acquired systemic arterial, coronary and ductal abnormalities","Postprocedural aortic complication,","15.37.73","I77.8","Other specified disorders of arteries and arterioles","Y83.8","I77.8","Other specified disorders of arteries and arterioles",,"Cardiac, Other","447.8","E878.8"
"Acquired systemic arterial, coronary and ductal abnormalities","Postprocedural ascending aorta complication,","15.36.01","I77.8","Other specified disorders of arteries and arterioles","Y83.8","I77.8","Other specified disorders of arteries and arterioles",,"Cardiac, Other","447.8","E878.8"
"Acquired systemic arterial, coronary and ductal abnormalities","Postprocedural descending aorta complication,","15.37.01","I77.8","Other specified disorders of arteries and arterioles","Y83.8","I77.8","Other specified disorders of arteries and arterioles",,"Cardiac, Other","447.8","E878.8"
"Acquired systemic arterial, coronary and ductal abnormalities","Residual aortic coarctation,","15.37.05","Q25.1","Coarctation of aorta","Y83.8","Q25.10","Coarctation of aorta, unspecified","Q25.19, Q25.11, Q25.12, Q25.13","Coarctation of aorta","747.1","E878.8"
"Acquired systemic arterial, coronary and ductal abnormalities","Postprocedural aneurysm of aorta at coarctation site,","15.37.07","I71.2","Thoracic aortic aneurysm, without mention of rupture","Y83.8","I71.2","Thoracic aortic aneurysm, without mention of rupture",,"Aneurysm, Other","441.2","E878.8"
"Acquired systemic arterial, coronary and ductal abnormalities","Postprocedural systemic arterial complication,","15.24.00","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","I97.81, I97.82, I97.83","Peripheral vasculature, Other","997.2",
"Acquired systemic arterial, coronary and ductal abnormalities","Systemic arteritis,","10.14.60","I77.6","Arteritis, unspecified",,"I77.6","Arteritis, unspecified",,"Peripheral vasculature, Other","447.6",
"Acquired systemic arterial, coronary and ductal abnormalities","Kawasaki disease,","10.09.01","M30.3","Mucocutaneous lymph node syndrome [Kawasaki]",,"M30.3","Mucocutaneous lymph node syndrome [Kawasaki]",,"Miscellaneous, Other","446.1",
"Acquired systemic arterial, coronary and ductal abnormalities","Kawasaki disease without cardiac involvement,","10.09.08","M30.3","Mucocutaneous lymph node syndrome [Kawasaki]",,"M30.3","Mucocutaneous lymph node syndrome [Kawasaki]",,"Miscellaneous, Other","446.1",
"Acquired systemic arterial, coronary and ductal abnormalities","Kawasaki disease with aneurysm(s) or dilated coronary vessels,","10.09.02","M30.3","Mucocutaneous lymph node syndrome [Kawasaki]","I25.4","M30.3","Mucocutaneous lymph node syndrome [Kawasaki]",,"Coronary artery anomaly, Aneurysm","446.1","414.1"
"Acquired systemic arterial, coronary and ductal abnormalities","Acquired coronary arterial disease,","10.09.10","I25.9","Chronic ischaemic heart disease, unspecified",,"I25.9","Chronic ischaemic heart disease, unspecified",,"Coronary artery anomaly, Other","414.9",
"Acquired systemic arterial, coronary and ductal abnormalities","Ischaemic heart disease,","10.09.30","I25.9","Chronic ischaemic heart disease, unspecified",,"I25.9","Chronic ischaemic heart disease, unspecified",,"Coronary artery anomaly, Other","414.9",
"Acquired systemic arterial, coronary and ductal abnormalities","Myocardial infarction,","10.18.00","I21.9","Acute myocardial infarction, unspecified",,"I21.9","Acute myocardial infarction, unspecified",,"Myocardial infarction","410",
"Acquired systemic arterial, coronary and ductal abnormalities","Acute myocardial infarction,","10.18.01","I21.9","Acute myocardial infarction, unspecified",,"I21.9","Acute myocardial infarction, unspecified",,"Myocardial infarction","410",
"Acquired systemic arterial, coronary and ductal abnormalities","Postmyocardial infarction complication,","10.18.24","I23.8","Other current complications following acute myocardial infarction",,"I23.8","Other current complications following acute myocardial infarction",,"Myocardial infarction","411",
