"section_name","epcc_name","epcc_code","icd10_code","icd10_name","icd10_additional","icd10am_code","icd10am_name","sts_name","icd9_code","icd9_additional","icd10am_seq","icd10_seq"
"Acquired ventricular and ventricular septal abnormalities","Postprocedural right ventricular complication,","15.20.01","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Cardiac, Other","997.1",,6,6
"Acquired ventricular and ventricular septal abnormalities","Postprocedural right ventricular outflow tract complication,","15.20.21","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8","E878.8",7,7
"Acquired ventricular and ventricular septal abnormalities","Right ventricular outflow tract obstruction: acquired,","10.16.16","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,8,8
"Acquired ventricular and ventricular septal abnormalities","Aneurysm of right ventricular outflow tract patch,","15.20.25","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.89","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts","Aneurysm, Ventricular, Right","996.7",,2,2
"Acquired ventricular and ventricular septal abnormalities","Residual right ventricular outflow tract obstruction,","15.20.23","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Cardiac, Other","746.8","E878.8",15,19
"Acquired ventricular and ventricular septal abnormalities","Left ventricular abnormality: acquired,","10.16.40","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,9,9
"Acquired ventricular and ventricular septal abnormalities","Left ventricular dysfunction,","07.06.10","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,10,10
"Acquired ventricular and ventricular septal abnormalities","Left ventricular failure,","10.16.47","I50.1","Left ventricular failure",,"I50.1","Left ventricular failure","Cardiac, Other","428.1",,2,2
"Acquired ventricular and ventricular septal abnormalities","Postprocedural left ventricular complication,","15.21.01","I97.8","Other postprocedural disorders of circulatory system, not elsewhere classified",,"I97.89","Other intraoperative and postprocedural disorders of circulatory system, not elsewhere classified","Cardiac, Other","997.1",,7,7
"Acquired ventricular and ventricular septal abnormalities","Postprocedural left ventricular outflow tract complication,","15.21.21","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8","E878.8",11,11
"Acquired ventricular and ventricular septal abnormalities","Recurrent left ventricular outflow tract obstruction,","10.16.46","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Cardiac, Other","429.8",,12,12
"Acquired ventricular and ventricular septal abnormalities","Residual left ventricular outflow tract obstruction,","15.21.22","Q24.8","Other specified congenital malformations of heart","Y83.8","Q24.89","Other specified congenital malformations of heart","Cardiac, Other","746.8","E878.8",16,20
"Acquired ventricular and ventricular septal abnormalities","Narrowing of constructed intraventricular tunnel: acquired,","10.16.81","T82.8","Other specified complications of cardiac and vascular prosthetic devices, implants and grafts",,"T82.84","Stenosis following insertion of cardiac and vascular prosthetic devices, implants and grafts","Cardiac, Other","996.7",,1,3
"Acquired ventricular and ventricular septal abnormalities","Subaortic stenosis: acquired,","10.16.86","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Aortic stenosis, Subvalvar","429.8",,13,13
"Acquired ventricular and ventricular septal abnormalities","Subaortic stenosis in complex heart disease: acquired,","10.16.82","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Aortic stenosis, Subvalvar","429.8",,14,14
"Acquired ventricular and ventricular septal abnormalities","Residual subaortic stenosis in complex heart disease,","15.20.75","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases","Aortic stenosis, Subvalvar","429.8","E878.8",15,15
"Acquired ventricular and ventricular septal abnormalities","Subpulmonary stenosis: acquired,","10.16.88","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Pulmonary stenosis, Subvalvar","429.8",,16,16
"Acquired ventricular and ventricular septal abnormalities","Subpulmonary stenosis in complex heart disease: acquired,","10.16.83","I51.8","Other ill-defined heart diseases",,"I51.8","Other ill-defined heart diseases","Pulmonary stenosis, Subvalvar","429.8",,17,17
"Acquired ventricular and ventricular septal abnormalities","Residual subpulmonary stenosis in complex heart disease,","15.20.76","I51.8","Other ill-defined heart diseases","Y83.8","I51.8","Other ill-defined heart diseases","Pulmonary stenosis, Subvalvar","429.8","E878.8",18,18
"Acquired ventricular and ventricular septal abnormalities","Abnormality associated with ventricular septum: acquired,","10.16.60","I51.0","Cardiac septal defect, acquired",,"I51.0","Cardiac septal defect, acquired","Cardiac, Other","429.8",,1,1
"Acquired ventricular and ventricular septal abnormalities","Postmyocardial infarct ventricular septal defect (VSD),","10.16.62","I23.2","Ventricular septal defect as current complication following acute myocardial infarction",,"I23.2","Ventricular septal defect as current complication following acute myocardial infarction","VSD","410",,1,1
"Acquired ventricular and ventricular septal abnormalities","Residual ventricular septal defect (VSD),","15.22.02","Q21.0","Ventricular septal defect","Y83.8","Q21.09","Other specified ventricular septal defect","VSD","745.4","E878.8",6,11
"Cardiomyopathy and heart muscle diseases","Myocardial failure in end stage congenital heart disease,","10.07.40","I50.9","Heart failure, unspecified","Q24.9","I50.9","Heart failure, unspecified","Cardiomyopathy, End-stage congenital heart disease","428.9","746.9",1,1
"Cardiomyopathy and heart muscle diseases","Cardiomyopathy,","10.10.01","I42.9","Cardiomyopathy, unspecified",,"I42.9","Cardiomyopathy, unspecified","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",,1,1
"Cardiomyopathy and heart muscle diseases","Ventricular myocardial noncompaction cardiomyopathy,","07.08.50","I42.8","Other cardiomyopathies",,"I42.8","Other cardiomyopathies","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",,1,1
"Cardiomyopathy and heart muscle diseases","Hypertrophic cardiomyopathy,","10.10.20","I42.2","Other hypertrophic cardiomyopathy",,"I42.2","Other hypertrophic cardiomyopathy","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",,1,1
"Cardiomyopathy and heart muscle diseases","Dilated cardiomyopathy,","10.10.25","I42.0","Dilated cardiomyopathy",,"I42.0","Dilated cardiomyopathy","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",,1,1
"Cardiomyopathy and heart muscle diseases","Arrhythmogenic right ventricular cardiomyopathy,","07.01.10","I42.8","Other cardiomyopathies",,"I42.8","Other cardiomyopathies","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",,2,2
"Cardiomyopathy and heart muscle diseases","Endocardial fibroelastosis,","10.10.12","I42.4","Endocardial fibroelastosis",,"I42.4","Endocardial fibroelastosis","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.3",,1,1
"Cardiomyopathy and heart muscle diseases","Idiopathic restrictive cardiomyopathy,","10.10.11","I42.5","Other restrictive cardiomyopathy",,"I42.5","Other restrictive cardiomyopathy","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",,1,1
"Cardiomyopathy and heart muscle diseases","Infiltrative cardiomyopathy,","10.10.13","I42.8","Other cardiomyopathies",,"I42.8","Other cardiomyopathies","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.4",,3,3
"Cardiomyopathy and heart muscle diseases","Drug induced heart muscle disease,","10.07.05","I42.7","Cardiomyopathy due to drugs and other external agents",,"I42.7","Cardiomyopathy due to drugs and other external agents","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","425.9",,1,1
"Cardiomyopathy and heart muscle diseases","Nutritional heart muscle disease,","10.07.61","E63.9","Nutritional deficiency, unspecified","I43.2","E63.9, I43.2","Multiple codes","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","269.9","425.7",1,1
"Cardiomyopathy and heart muscle diseases","Heart muscle disease in collagen vascular/ connective tissue disorder,","10.07.81","M35.9","Systemic involvement of connective tissue, unspecified","I43.8","M35.9, I43.8","Multiple codes","Cardiomyopathy (including dilated, restrictive, and hypertrophic)","710.9","425.8",1,2
"Acquired pulmonary arterial abnormalities","Pulmonary arterial disease: acquired,","10.13.50","I28.9","Disease of pulmonary vessels, unspecified",,"I28.9","Disease of pulmonary vessels, unspecified","Cardiac, Other","417.9",,3,3
"Acquired pulmonary arterial abnormalities","Right pulmonary arterial stenosis: acquired,","10.13.68","I28.8","Other specified diseases of pulmonary vessels",,"I28.8","Other specified diseases of pulmonary vessels","Pulm art stenosis, Branch, Central","417.8",,2,2
"Acquired pulmonary arterial abnormalities","Left pulmonary arterial stenosis: acquired,","10.13.69","I28.8","Other specified diseases of pulmonary vessels",,"I28.8","Other specified diseases of pulmonary vessels","Pulm art stenosis, Branch, Central","417.8",,3,3
"Acquired pulmonary arterial abnormalities","Postprocedural pulmonary trunk complication,","15.32.01","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels","Cardiac, Other","417.8","E878.8",4,4
"Acquired pulmonary arterial abnormalities","Postprocedural right pulmonary artery complication,","15.32.21","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels","Cardiac, Other","417.8","E878.8",5,5
"Acquired pulmonary arterial abnormalities","Postprocedural left pulmonary artery complication,","15.32.41","I28.8","Other specified diseases of pulmonary vessels","Y83.8","I28.8","Other specified diseases of pulmonary vessels","Cardiac, Other","417.8","E878.8",6,6
"Acquired pulmonary arterial abnormalities","Residual right pulmonary artery stenosis,","15.32.23","Q25.6","Stenosis of pulmonary artery","Y83.8","Q25.6","Stenosis of pulmonary artery","Pulm art stenosis, Branch, Central","747.3","E878.8",7,6
"Acquired pulmonary arterial abnormalities","Residual left pulmonary artery stenosis,","15.32.43","Q25.6","Stenosis of pulmonary artery","Y83.8","Q25.6","Stenosis of pulmonary artery","Pulm art stenosis, Branch, Central","747.3","E878.8",8,7
"Acquired pulmonary arterial abnormalities","Pulmonary arterial hypertension,","10.13.01","I27.0","Primary pulmonary hypertension",,"I27.0","Primary pulmonary hypertension","Miscellaneous, Other","416.8",,1,1
"Acquired pulmonary arterial abnormalities","Primary pulmonary hypertension,","10.13.02","I27.0","Primary pulmonary hypertension",,"I27.0","Primary pulmonary hypertension","Primary pulmonary hypertension","416",,2,2
"Acquired pulmonary arterial abnormalities","Secondary pulmonary hypertension,","10.13.20","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases","Miscellaneous, Other","416.8",,1,1
"Acquired pulmonary arterial abnormalities","Pulmonary hypertension due to left to right shunt,","10.13.21","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases","Miscellaneous, Other","416.8",,2,2
"Acquired pulmonary arterial abnormalities","Pulmonary vascular disease,","10.13.06","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases","Pulmonary vascular obstructive disease","416.8",,3,3
"Acquired pulmonary arterial abnormalities","Irreversible pulmonary vascular disease due to congenital heart disease (Eisenmenger Syndrome),","10.13.08","I27.8","Other specified pulmonary heart diseases",,"I27.8","Other specified pulmonary heart diseases","Pulmonary vascular obstructive disease (Eisenmenger's)","416.8",,4,4
"Acquired pulmonary arterial abnormalities","Pulmonary embolism,","10.13.51","I26.9","Pulmonary embolism without mention of acute cor pulmonale",,"I26.9","Pulmonary embolism without mention of acute cor pulmonale","Pulmonary embolism","415.1",,1,1
"Acquired pulmonary arterial abnormalities","Pulmonary oedema,","10.30.30","J81","Pulmonary oedema",,"J81","Pulmonary oedema","Miscellaneous, Other","514",,1,1
"Acquired systemic arterial, coronary and ductal abnormalities","Abnormality of aorta: acquired,","10.14.70","I77.8","Other specified disorders of arteries and arterioles",,"I77.8","Other specified disorders of arteries and arterioles","Cardiac, Other","447.8",,2,2
